Product,Type,Release Date,Transistors (million)
AMD Athlon 64 3500+,CPU,2007-02-20,122
AMD Athlon 200GE,CPU,2018-09-06,4800
Intel Core i5-1145G7,CPU,2020-09-02,
Intel Xeon E5-2603 v2,CPU,2013-09-01,1400
AMD Phenom II X4 980 BE,CPU,2011-05-03,758
Intel Xeon E5-2470 v2,CPU,2013-09-01,1400
AMD Phenom X4 9750 (125W),CPU,2008-03-27,450
Intel Pentium D 930,CPU,2006-01-16,376
Intel Core i3-1125G4,CPU,2020-09-02,
AMD Athlon 64 X2 4200+,CPU,2006-05-23,154
AMD Sempron 2800+,CPU,2004-08-01,37
Intel Core i7-3632QM,CPU,2012-10-19,1480
AMD C-70,CPU,2012-09-01,
Intel Core i5-8269U,CPU,2018-04-05,
AMD Phenom X4 9600 BE,CPU,2007-12-19,450
Intel Pentium 3560Y,CPU,2013-09-01,1400
AMD Turion X2 Ultra ZM-84,CPU,2008-09-01,
Intel Pentium 4 506,CPU,2005-06-01,125
Intel Xeon E5-2430 v2,CPU,2013-09-01,1400
AMD Athlon 64 X2 4800+,CPU,2006-05-23,233
Intel Core i5-3427U,CPU,2012-06-01,
AMD Opteron 148 HE,CPU,2004-12-01,106
AMD Athlon 1100,CPU,2000-08-14,37
Intel Core i7-975,CPU,2009-06-02,731
AMD Athlon 64 3500+,CPU,2001-01-01,105
Intel Pentium 4 HT 672,CPU,2005-11-14,169
Intel Pentium D 830,CPU,2005-05-26,169
AMD EPYC 7371,CPU,2018-11-16,4800
Intel Pentium 4 HT 550,CPU,2004-06-21,125
Intel Pentium III 1266S,CPU,2001-07-01,44
AMD Sempron 140,CPU,2009-07-22,234
AMD EPYC 7501,CPU,2017-06-29,4800
Intel Atom E680,CPU,2010-09-14,47
Intel Xeon E5-2690 v2,CPU,2013-09-01,1400
Intel Xeon Platinum 8380,CPU,2021-04-06,
Intel Xeon Phi 7120A,CPU,2014-04-06,5000
Intel Core i3-8020,CPU,2018-09-01,
Intel Atom S1220,CPU,2012-12-11,
AMD Phenom X4 9600,CPU,2007-11-19,450
Intel Core i3-2330M,CPU,2011-06-01,624
AMD Opteron X2 180,CPU,2005-09-26,233
AMD E2-3200,CPU,2011-09-07,1178
AMD Turion 64 MT-34,CPU,2005-03-10,114
Intel Pentium III  866,CPU,2001-06-01,44
Intel Core 2 Quad Q9550S,CPU,2009-01-27,820
Intel Core i7-4500U,CPU,2013-06-04,1300
AMD Opteron X2 185,CPU,2006-03-06,233
Intel Core i3-8300,CPU,2018-02-14,
AMD Ryzen 5 1400,CPU,2017-04-11,4800
AMD A4-3300M,CPU,2011-06-14,1178
Intel Xeon 3.20,CPU,2003-10-06,286
AMD Opteron 848,CPU,2004-12-01,106
Intel Core 2 Extreme QX6700,CPU,2006-11-01,582
Intel Pentium Gold G6405T,CPU,2021-03-16,
AMD A6-3600,CPU,2011-06-30,1178
Intel Xeon Phi 7120X,CPU,2013-06-17,5000
Intel Core i9-10900K,CPU,2020-04-30,
Intel Pentium 2129Y,CPU,2012-09-01,1400
AMD Athlon 64 X2 5600+,CPU,2006-12-12,227
AMD Athlon II X4 640,CPU,2010-05-11,300
Intel Atom Z515,CPU,2009-04-08,47
AMD EPYC 7302,CPU,2019-08-07,3800
Intel Celeron 3205U,CPU,2015-03-01,
Intel Core i3-10305T,CPU,2021-03-16,
AMD Ryzen 9 5900HX,CPU,2021-01-12,9800
AMD EPYC 7502,CPU,2019-08-07,3800
AMD Athlon 64 4000+,CPU,2007-02-20,227
Intel Pentium III 1400S,CPU,2002-01-08,44
Intel Core i7-9850HE,CPU,NaT,
AMD Mobile Athlon 64 3400+,CPU,2005-08-01,106
Intel Xeon E5-2620 v2,CPU,2013-09-01,1400
Intel Core i9-10850K,CPU,2020-07-27,
Intel Core i5-11600,CPU,2021-03-16,
Intel Core i7-3555LE,CPU,2012-06-03,
Intel Xeon E3-1220L v2,CPU,2012-05-14,
Intel Core i3-8130U,CPU,2018-02-13,
Intel Xeon Platinum 8260,CPU,2018-12-11,8000
AMD Athlon 64 3500+,CPU,2005-05-31,154
AMD Ryzen 9 5950X,CPU,2020-11-05,
Intel Atom N2600,CPU,2011-12-01,176
Intel Xeon Platinum 8352M,CPU,2021-04-06,
AMD EPYC 7763,CPU,2021-03-15,
Intel Core i7-8809G,CPU,2018-02-01,
AMD Ryzen Threadripper PRO 3955WX,CPU,2020-07-14,3800
Intel Celeron 2980U,CPU,2013-09-01,1400
AMD Athlon 64 X2 4000+,CPU,2006-05-23,154
Intel Xeon E5-2630L v2,CPU,2013-09-01,1400
Intel Core i5-3570,CPU,2012-06-01,
AMD Ryzen 7 3750H,CPU,2019-01-06,4940
Intel A110,CPU,2007-06-01,176
AMD Ryzen 5 5500U,CPU,2021-01-12,9800
Intel Core i9-10800F,CPU,2020-04-30,
Intel Xeon MP 3.50,CPU,2005-03-29,
Intel Core i3-10110U,CPU,2019-08-21,
Intel Core i3-10305,CPU,2021-03-16,
Intel Core Solo T1350,CPU,2006-01-05,151
AMD A4-5300B,CPU,2012-10-02,1178
Intel Core Duo T2600,CPU,2006-01-05,151
Intel Pentium G4500,CPU,2015-09-01,1400
AMD A8-5600K,CPU,2012-10-02,1178
AMD Athlon XP 2600+,CPU,2002-10-01,37
AMD Athlon 64 3000+,CPU,2003-12-15,69
Intel Pentium D 945,CPU,2006-07-23,376
